NODE_KEY,CITY,POSTAL_CODE,STREET,BUILDING,COUNTRY,ADDRESS,VAL_START_DATE,VAL_END_DATE,LATITUDE,LONGITUTE
A0000000000000000000000000000001,Tokyo,100-0001,Main Street 100,Bldg 1,Japan,01,2021-01-01,9999-12-31,35.6762,139.6503
A0000000000000000000000000000002,London,EC1A 1BB,Main Street 101,Bldg 2,United Kingdom,01,2021-01-01,9999-12-31,51.5074,-0.1278
A0000000000000000000000000000003,Munich,80331,Main Street 102,Bldg 3,Germany,01,2021-01-01,9999-12-31,48.1351,11.5820
A0000000000000000000000000000004,Mumbai,400001,Main Street 103,Bldg 4,India,01,2021-01-01,9999-12-31,19.0760,72.8777
A0000000000000000000000000000005,Shanghai,200000,Main Street 104,Bldg 5,China,01,2021-01-01,9999-12-31,31.2304,121.4737
A0000000000000000000000000000006,Sydney,2000,Main Street 105,Bldg 6,Australia,01,2021-01-01,9999-12-31,-33.8688,151.2093
A0000000000000000000000000000007,Dallas,75201,Main Street 106,Bldg 7,United States,01,2021-01-01,9999-12-31,32.7767,-96.7970
A0000000000000000000000000000008,Toronto,M5H 2N2,Main Street 107,Bldg 8,Canada,01,2021-01-01,9999-12-31,43.6532,-79.3832
A0000000000000000000000000000009,New York,10001,Main Street 200,Bldg 9,United States,01,2022-01-01,9999-12-31,40.7128,-74.0060
A0000000000000000000000000000010,San Francisco,94105,Main Street 201,Bldg 10,United States,01,2022-01-01,9999-12-31,37.7749,-122.4194
A0000000000000000000000000000011,Austin,73301,Main Street 202,Bldg 11,United States,01,2022-01-01,9999-12-31,30.2672,-97.7431
A0000000000000000000000000000012,Chicago,60601,Main Street 203,Bldg 12,United States,01,2022-01-01,9999-12-31,41.8781,-87.6298
A0000000000000000000000000000013,Chennai,600001,Main Street 204,Bldg 13,India,01,2022-01-01,9999-12-31,13.0827,80.2707
A0000000000000000000000000000014,Bengaluru,560001,Main Street 205,Bldg 14,India,01,2022-01-01,9999-12-31,12.9716,77.5946
A0000000000000000000000000000015,New Delhi,110001,Main Street 206,Bldg 15,India,01,2022-01-01,9999-12-31,28.6139,77.2090
