NODE_KEY,locale,DESCRIPTION
D0000000000000000000000000000001,en,Notebook 15 Pro
D0000000000000000000000000000001,de,Notebook 15 Pro (DE)
D0000000000000000000000000000002,en,27in 4K Monitor
D0000000000000000000000000000002,de,27in 4K Monitor (DE)
D0000000000000000000000000000003,en,Mechanical Keyboard
D0000000000000000000000000000003,de,Mechanical Keyboard (DE)
D0000000000000000000000000000004,en,Wireless Mouse
D0000000000000000000000000000004,de,Wireless Mouse (DE)
D0000000000000000000000000000005,en,1TB NVMe SSD
D0000000000000000000000000000005,de,1TB NVMe SSD (DE)
D0000000000000000000000000000006,en,Wi-Fi 6 Router
D0000000000000000000000000000006,de,Wi-Fi 6 Router (DE)
D0000000000000000000000000000007,en,Business Laptop 14
D0000000000000000000000000000007,de,Business Laptop 14 (DE)
D0000000000000000000000000000008,en,Color Laser Printer
D0000000000000000000000000000008,de,Color Laser Printer (DE)
D0000000000000000000000000000009,en,Tablet 11
D0000000000000000000000000000009,de,Tablet 11 (DE)
D0000000000000000000000000000010,en,32in UltraWide
D0000000000000000000000000000010,de,32in UltraWide (DE)
D0000000000000000000000000000011,en,USB-C Dock
D0000000000000000000000000000011,de,USB-C Dock (DE)
D0000000000000000000000000000012,en,Mesh Wi-Fi Node
D0000000000000000000000000000012,de,Mesh Wi-Fi Node (DE)
D0000000000000000000000000000013,en,Rackmount Server R1
D0000000000000000000000000000013,de,Rackmount Server R1 (DE)
D0000000000000000000000000000014,en,Workstation Pro
D0000000000000000000000000000014,de,Workstation Pro (DE)
D0000000000000000000000000000015,en,Industrial Switch 24p
D0000000000000000000000000000015,de,Industrial Switch 24p (DE)
D0000000000000000000000000000016,en,Backup Appliance
D0000000000000000000000000000016,de,Backup Appliance (DE)
D0000000000000000000000000000017,en,POS Terminal
D0000000000000000000000000000017,de,POS Terminal (DE)
D0000000000000000000000000000018,en,Edge Gateway
D0000000000000000000000000000018,de,Edge Gateway (DE)
D0000000000000000000000000000019,en,Thin Client
D0000000000000000000000000000019,de,Thin Client (DE)
